Coal or metal,Commodity,Mine name,Mine type,Operator ID,Operator name,State
M ,Active ,R D BLANKENSHIP DIRT WORK,Surface,2901986,R D Blankenship Dirt Work LLC  ,NM 
M ,Abandoned ,Reeves Dirt Pit Incorporated,Surface,1601127,Reeves Dirt Pit Inc  ,LA 
M ,Abandoned ,River Bottom Dirt,Surface,4105017,River Bottom Dirt  ,TX 
M ,Abandoned ,Roe'S Dirt Pit,Surface,1600986,Roe'S Dirt Pit  ,LA 
M ,Abandoned ,Pine Ridge Pit,Surface,4103324,Russell Trest-Dirt Contractor  ,TX 
M ,Abandoned ,Stahr Portable Crusher,Surface,4202013,S J Stahr Dirt Movers Inc  ,UT 
M ,Active ,Molino Pit,Surface,0801417,"Sand & Dirt, Inc  ",FL 
M ,Abandoned ,CENTURY PIT,Surface,0801371,"Sand and Dirt, Inc.  ",FL 
M ,Abandoned ,Sierra Rock & Dirt Inc,Surface,2402115,"Sierra Rock & Dirt, Inc.  ",MT 
M ,Abandoned ,Simpson Sand and Gravel,Surface,4300748,Simpson Dirtworx llc  ,VT 
M ,Intermittent ,Pettibone Jaw Crusher,Surface,4300768,SIMPSON DIRTWORX LLC  ,VT 
M ,Intermittent ,Chieftan 1400,Surface,4300776,SIMPSON DIRTWORX LLC  ,VT 
M ,Abandoned ,SLAY PIT,Surface,0103209,Slay'S Dirt Hauling  ,AL 
M ,Abandoned ,Southside Dirt Pit,Surface,1601159,Southside Dirt Company  ,LA 
M ,Intermittent ,Mike's Money Pit,Surface,2302283,"Spry's Dirt & Gravel, Inc.  ",MO 
M ,Abandoned ,Stewart Pit,Surface,4102586,Stewart Dirt Pit  ,TX 
M ,Abandoned ,Stewart Dirt Work Inc - Hanna Pit,Surface,4104475,"Stewart Dirt Work, Inc.  ",TX 
M ,Abandoned ,Highway 642 Dirt Pit,Surface,3800617,Sweat'S Dirt Hauling Inc  ,SC 
M ,Abandoned ,Toler Roe Dirt Pit,Surface,1601234,Toler Roe Dirt Pit  ,LA 
M ,Abandoned ,La Calichera Pit,Surface,4104648,"Tres Palacios Dirt, Sand & Gravel  ",TX 
M ,Intermittent ,Crusher,Surface,2103518,Vogt Dirt Service  ,MN 
M ,Abandoned ,ADDISON LEASE,Surface,1601292,Watson Dirt Sand & Gravel Pit Inc  ,LA 
M ,Abandoned ,Y B Mine,Surface,4103429,Y B Dirt & Loam  ,TX 
M ,Abandoned ,Yarbrough Dirt Pit #1,Surface,4103264,Yarbrough Dirt Pit Inc  ,TX 
