byline,headline,summary,time,url
,Gender Letter,"Subscribe to the Gender Letter: a weekly take on news, trends and culture by our gender editor, Jessica Bennett. Get it delivered to your inbox.",,https://www.nytimes.com/series/gender-letter
,Australia’s Anxiety About World Affairs,"A new poll finds that Australians are disillusioned with President Trump, and worried about Chinese investment, immigration and climate change.",,https://www.nytimes.com/2018/06/19/world/australia/lowy-institute-poll-united-states-china-trump.html
,When Texans Try Vegemite,We couldn’t help it — an Australia Diary taste test for Australia’s favorite* food.,,https://www.nytimes.com/2018/06/20/world/australia/when-texans-try-vegemite.html
,Huawei’s New Front in the Global Technology Cold War: Australia,The Chinese telecom giant fears U.S. skepticism over the security of its products will spread to countries that have long been dependable customers.,,https://www.nytimes.com/2018/06/19/business/huawei-australia-technology-5g-security.html
,"In Venice, a Biennale Show About Hooking Up","Few exhibitions at the Architecture Biennale go as far as the Cruising Pavilion, a scrappy show devoted to the culture of casual sex.",,https://www.nytimes.com/2018/06/20/arts/design/cruising-pavilion-venice-architecture-biennale-.html
,Photographing Ordinary Life in Passing,"LeRoy W. Henderson Jr. has traveled the East Coast, stopping alongside rural roads in his native Virginia and on bustling New York City streets.",,https://www.nytimes.com/2018/06/19/lens/photographing-ordinary-life-in-passing.html
,"With New Album, Dawes Is Unlocking Its Future","The Los Angeles group led by the singer and guitarist Taylor Goldsmith stretches its sound and scope of lyrical inquiry on its sixth LP, “Passwords.”",,https://www.nytimes.com/2018/06/20/arts/music/dawes-passwords-taylor-goldsmith.html
By KATHERINE STEWART 4:14 PM ET,The Christian Right Adopts a 50-State Strategy,Pro-Trump evangelicals want to build a “great red wall” to keep Democrats out of power. California is high on their list of targets.,4:14 PM ET,https://www.nytimes.com/2018/06/20/opinion/christian-right-evangelicals-midterms.html
,The Two Biggest Problems With College,And how to fix them.,,https://www.nytimes.com/2018/06/20/opinion/college-middle-class-poor-students.html
,Beyond Trump’s Korea Fantasies,,,https://www.nytimes.com/2018/06/19/opinion/beyond-trumps-korea-fantasies.html
,"Editorial: Mr. Crowley, Don’t Take Voters for Granted",,,https://www.nytimes.com/2018/06/19/opinion/joseph-crowley-alexandria-ocasio-cortez.html
,Douthat: The Handmaids of Capitalism,,,https://www.nytimes.com/2018/06/20/opinion/feminism-capitalism.html
,Friedman: Trump to Dictators: Have a Nice Day 3:49 PM ET,,3:49 PM ET,https://www.nytimes.com/2018/06/19/opinion/trump-to-dictators-have-a-nice-day.html
,Krugman: The Devil and Tom Donohue 11:19 AM ET,,11:19 AM ET,https://www.nytimes.com/2018/06/20/opinion/the-devil-and-tom-donohue.html
By SAMANTHA KNOWLES,A Town Divided Over Blue Lives Matter,A blue line intended to show support for police instead turned neighbors against each other.,,https://www.nytimes.com/video/opinion/100000005829688/a-town-divided-over-blue-lives-matter.html
,Division in your community? We’d like to hear from you.>>,,,https://www.nytimes.com/2018/06/19/opinion/blue-line-reader-callout.html
,Standing By as Prisoners Are Raped 3:49 PM ET,,3:49 PM ET,https://www.nytimes.com/2018/06/20/opinion/prison-rape-sexual-violence.html
,"‘If It Could Happen to Them, Why Can’t It Happen to Us?’",,,https://www.nytimes.com/2018/06/19/opinion/children-border-separated-foster-care-trauma.html
,American Internment Camps 12:40 PM ET,,12:40 PM ET,https://www.nytimes.com/2018/06/20/opinion/american-internment-camps.html
,The Illuminations of Hannah Arendt 11:00 AM ET,,11:00 AM ET,https://www.nytimes.com/2018/06/20/opinion/why-read-hannah-arendt-now.html
,I Am Running for President in Turkey. From Prison.,,,https://www.nytimes.com/2018/06/20/opinion/president-turkey-elections-demirtas.html
,The World Cup Is Fun. Except for the Russians Being Tortured.  1:43 PM ET,,1:43 PM ET,https://www.nytimes.com/2018/06/20/opinion/world-cup-russia-torture-putin.html
,Sign Up for Our World Cup Newsletter »,,,https://www.nytimes.com/newsletters/offsides
,Meet the Woman Who ‘Really Runs’ the New York Times Newsroom,,,https://www.nytimes.com/2018/06/19/insider/juanita-powell-brunson-profile.html
,We Want to Hear From You,,,https://www.nytimes.com/2017/08/08/reader-center/we-want-to-hear-from-you.html
